SaleID,SaleDate,ProductID,Quantity,UnitPrice
188,2026-10-02,13,4,49.99
189,2026-02-09,12,5,24.99
190,2026-04-09,11,3,899.99
191,2025-03-09,20,4,249.99
192,2025-01-22,19,1,149.99
193,2026-06-27,18,2,14.99
194,2026-09-17,17,4,29.99
195,2026-02-24,16,5,18.99
196,2025-05-30,15,1,299.99
197,2026-06-20,14,3,199.99
198,2025-03-06,13,1,49.99
199,2025-02-21,12,1,24.99
200,2026-02-06,11,2,899.99
